authorId,authorUrl,authorName
aut473,47131776,Annika Reinke
aut474,2462340,S. Bodenstedt
aut475,93088018,Peter M. Full
aut476,1585780832,Hellena Hempe
aut477,65841662,D. Filimon
aut478,2062880835,Patrick Scholz
aut479,1585890027,T. Tran
aut480,51903792,Pierangela Bruno
aut481,1679990966,A. Kisilenko
aut482,2067885689,Benjamin Müller
aut483,1679990969,Tornike Davitashvili
aut484,1679974988,Manuela Capek
aut485,14332753,M. Tizabi
aut486,33751657,Matthias Eisenmann
aut487,144784171,T. Adler
aut488,9587758,J. Gröhl
aut489,1680042085,Melanie Schellenberg
aut490,90487550,S. Seidlitz
aut491,2052777412,T. Y. E. Lai
aut492,1380212948,Veith Roethlingshoefer
aut493,32630778,Fabian Both
aut494,3070293,Sebastian Bittel
aut495,1679992383,M. Mengler
aut496,3452213,M. Apitz
aut497,47515221,S. Speidel
aut498,1711534,H. Kenngott
aut499,1390139613,B. Müller-Stich
aut500,2944292,Parikshit Ram
aut501,143774641,Werner Geyer
aut502,2411702,Y. Tausczik
aut503,1756353,Horst Samulowitz
aut504,2055386592,Alexander G. Gray
aut505,1706010,C. Brunsdon
aut506,48982395,A. Comber
aut507,73685318,Ingrid Lange
aut508,2752280,David Piorkowski
aut509,2052949,Jason Tsay
aut510,144921048,Q. Liao
aut511,32421869,T. Erickson
aut512,2737693,A. Berti
aut513,2775146,S. V. Zelst
aut514,145898058,Wil M.P. van der Aalst
aut515,2148761004,Longbing Cao
aut516,153096457,Qiang Yang
aut517,144019071,Philip S. Yu
aut518,9147815,M. Alloghani
aut519,1398585056,D. Al-Jumeily
aut520,123894038,J. Mustafina
aut521,145463079,A. Hussain
aut522,2013933,A. Aljaaf
aut523,2872113,M. Namaki
aut524,2327080,Avrilia Floratou
aut525,2493657,Fotis Psallidas
aut526,2494730,Subru Krishnan
aut527,9490513,Ashvin Agrawal
aut528,2948541,Yinghui Wu
aut529,2139103184,Yiwen Zhu
aut530,2965406,Markus Weimer
aut531,145106564,Thomas Donoghue
aut532,1961145,Bradley Voytek
aut533,2068671667,Shannon E. Ellis
aut534,2441164,R. Irizarry
aut535,1812881,Runze Li
aut536,153884534,Cun-Hui Zhang
aut537,48861660,H. Zou
aut538,3212908,Daniel L. Oberski
aut539,145525190,J. Pei
aut540,144923779,Bin Yu
aut541,14024326,Fabian Ruehle
aut542,3077876,Zeynep Engin
aut543,1761192,P. Treleaven
aut544,1398914668,Mine Çetinkaya-Rundel
aut545,31453285,Victoria Ellison
aut546,5178086,A. Chiolero
aut547,144795713,D. Buckeridge
