ID,name,city
50778983,"30th International Conference on Neural Information Processing, ICONIP 2023",Changsha
20813620,"30th International Conference on Neural Information Processing, ICONIP 2023",Changsha
96230629,"30th International Conference on Neural Information Processing, ICONIP 2023",Changsha
52196038,"8th International Conference on Cognitive Systems and Information Processing, ICCSIP 2023",Fuzhou
43751645,"8th International Conference on Cognitive Systems and Information Processing, ICCSIP 2023",Fuzhou
50473298,"14th China Satellite Navigation Conference, CSNC 2024",Jinan
12809895,"20th Pacific Rim International Conference on Artificial Intelligence, PRICAI 2023",Jakarta
25060370,"8th International Conference on Cognitive Systems and Information Processing, ICCSIP 2023",Fuzhou
92889423,"8th International Conference on Cognitive Systems and Information Processing, ICCSIP 2023",Fuzhou
77333300,"20th Pacific Rim International Conference on Artificial Intelligence, PRICAI 2023",Jakarta
89613126,"30th International Conference on Neural Information Processing, ICONIP 2023",Changsha
97286675,"20th Pacific Rim International Conference on Artificial Intelligence, PRICAI 2023",Jakarta
88786324,"20th Pacific Rim International Conference on Artificial Intelligence, PRICAI 2023",Jakarta
52182597,"16th International Federation of Theory of Machines and Mechanisms World Congress, IFToMM WC 2023",Tokyo
35128967,"20th Pacific Rim International Conference on Artificial Intelligence, PRICAI 2023",Jakarta
34359318,"20th Pacific Rim International Conference on Artificial Intelligence, PRICAI 2023",Jakarta
83767184,"16th International Federation of Theory of Machines and Mechanisms World Congress, IFToMM WC 2023",Tokyo
70894752,"11th Chinese National Conference on Social Media Processing, SMP 2023",Anhui
11929496,"16th International Federation of Theory of Machines and Mechanisms World Congress, IFToMM WC 2023",Tokyo
81570349,"8th International Conference on Cognitive Systems and Information Processing, ICCSIP 2023",Fuzhou
53367360,"1st International Conference on AI-generated Content, AIGC 2023",Shanghai
33585585,"20th Pacific Rim International Conference on Artificial Intelligence, PRICAI 2023",Jakarta
96170442,"8th International Workshop on Advanced Computational Intelligence and Intelligent Informatics, IWACIII 2023",Beijing
90050478,"20th Pacific Rim International Conference on Artificial Intelligence, PRICAI 2023",Jakarta
88773586,"19th International Conference on Computing in Civil and Building Engineering, ICCCBE 2022",Cape Town
23604394,"5th International Conference on Civil Engineering and Architecture, ICCEA 2022",Hanoi
10486421,"5th International Conference on Civil Engineering and Architecture, ICCEA 2022",Hanoi
44834131,"5th International Conference on Civil Engineering and Architecture, ICCEA 2022",Hanoi
12159425,"19th International Conference on Computing in Civil and Building Engineering, ICCCBE 2022",Cape Town
84216568,"14th International Conference on Technology of Plasticity, ICTP 2023",Mandelieu-La Napoule
27336822,"12th International Symposium on Intelligent Manufacturing and Service Systems, IMSS 2023",Istanbul
23561332,"11th IFToMM International Conference on Rotordynamics, IFToMM 2023",Beijing
27238158,"11th IFToMM International Conference on Rotordynamics, IFToMM 2023",Beijing
89629690,"32nd International Conference on Flexible Automation and Intelligent Manufacturing, FAIM 2023",Porto
40497237,"11th IFToMM International Conference on Rotordynamics, IFToMM 2023",Beijing
89273412,"11th IFToMM International Conference on Rotordynamics, IFToMM 2023",Beijing
