ID,name,year,edition
192741.0,"2022 International Conference on Advanced Technologies in Chemical, Construction and Mechanical Sciences, iCATCHCOME 2022",2022,1.0
192884.0,"17th ACM Conference on Recommender Systems, RecSys 2023",2023,1.0
192630.0,ACM SIGCOMM 2023 Conference,2023,1.0
191924.0,"1st Workshop on eBPF and Kernel Extensions, eBPF 2023",2023,1.0
192885.0,"2023 Workshop on Emerging Multimedia Systems, EMS 2023",2023,1.0
192254.0,"31st Annual European Symposium on Algorithms, ESA 2023",2023,1.0
192255.0,"26th International Conference on Approximation Algorithms for Combinatorial Optimization Problems, APPROX 2023 and the 27th International Conference on Randomization and Computation, RANDOM 2023",2023,1.0
192172.0,"27th ACM International Systems and Software Product Line Conference, SPLC 2023",2023,1.0
191642.0,"18th International Conference on Availability, Reliability and Security, ARES 2023",2023,1.0
195624.0,"2023 International Conference on Computer, Vision and Intelligent Technology, ICCVIT 2023",2023,1.0
193270.0,"2023 4th International Conference on Control, Robotics and Intelligent System, CCRIS 2023",2023,1.0
192092.0,"14th ACM SIGOPS Asia-Pacific Workshop on Systems, APSys 2023",2023,1.0
191741.0,"8th International Conference on Debris Flow Hazard Mitigation, DFHM 2023",2023,1.0
191742.0,"3rd International Conference on Oil and Gas Engineering and Geological Sciences, OGEGS 2023",2023,1.0
191432.0,"29th ACM SIGKDD Conference on Knowledge Discovery and Data Mining, KDD 2023",2023,1.0
194962.0,"52nd International Conference on Parallel Processing, ICPP 2023",2023,1.0
191434.0,"5th International Conference on Applied Category Theory, ACT 2022",2022,1.0
192763.0,"52nd International Conference on Parallel Processing, ICPP 2023 - Workshops Proceedings",2023,1.0
193227.0,"15th International Conference on Contemporary Computing, IC3 2023",2023,1.0
193305.0,"14th Asia-Pacific Symposium on Internetware, Internetware 2023",2023,1.0
192234.0,"2023 International Conference on Neuromorphic Systems, ICONS 2023",2023,1.0
191942.0,"48th International Symposium on Mathematical Foundations of Computer Science, MFCS 2023",2023,1.0
191604.0,"4th International Computer Programming Education Conference, ICPEC 2023",2023,1.0
192882.0,"2023 ACM Turing Award Celebration Conference, CHINA 2023",2023,1.0
191170.0,"9th International Conference on Energy Materials and Environment Engineering, ICEMEE 2023",2023,1.0
192096.0,"10th International Conference on Industrial Engineering and Applications, ICIEA 2023",2023,1.0
194605.0,"2023 Innovative Solutions for the Development of the Industry, Agro-Bio-Technologies 2023",2023,1.0
191176.0,"Special Interest Group on Computer Graphics and Interactive Techniques Conference - Courses, SIGGRAPH 2023",2023,1.0
