START_ID,END_ID
2-s2.0-85181247722,57691149
2-s2.0-85181707564,36120293
2-s2.0-85181707564,90984767
2-s2.0-85181707564,65309261
2-s2.0-85181243236,84834643
2-s2.0-85181243236,42813197
2-s2.0-85181243236,13407060
2-s2.0-85181869817,46476121
2-s2.0-85181869817,92085882
2-s2.0-85181869817,92372488
2-s2.0-85181944663,22322207
2-s2.0-85181944663,77123416
2-s2.0-85181944663,28735095
2-s2.0-85185550958,45981116
2-s2.0-85185550958,40345360
2-s2.0-85185550958,74056566
2-s2.0-85181254127,59664995
2-s2.0-85181254127,36120293
2-s2.0-85181254127,85365771
2-s2.0-85181232476,28735095
2-s2.0-85181232476,90096489
2-s2.0-85181232476,99909144
2-s2.0-85180368622,97086990
2-s2.0-85180368622,61845075
2-s2.0-85180368622,42769202
2-s2.0-85182418756,35647235
2-s2.0-85182418756,94826352
2-s2.0-85182418756,42895781
2-s2.0-85181934224,52042195
2-s2.0-85181934224,78496140
2-s2.0-85181934224,61388360
2-s2.0-85183462128,91698385
2-s2.0-85183462128,52325511
2-s2.0-85183462128,28735095
2-s2.0-85181243295,59096610
2-s2.0-85181243295,41812764
2-s2.0-85181243295,40121648
2-s2.0-85185332569,68146947
2-s2.0-85185332569,98102693
2-s2.0-85185332569,48877838
2-s2.0-85182101855,80176659
2-s2.0-85182101855,90768484
2-s2.0-85182101855,93085361
2-s2.0-85181247648,68245533
2-s2.0-85181247648,59278189
2-s2.0-85181247648,50758719
2-s2.0-85182096496,51956038
2-s2.0-85182096496,99890113
2-s2.0-85182096496,80800756
2-s2.0-85181907403,55709509
2-s2.0-85181907403,73232733
2-s2.0-85181907403,43056198
2-s2.0-85181904256,25327800
2-s2.0-85181904256,30594635
2-s2.0-85181904256,26953645
2-s2.0-85181233494,77109064
2-s2.0-85181233494,19079128
2-s2.0-85181233494,95210134
2-s2.0-85183465085,28735095
2-s2.0-85183465085,80307954
2-s2.0-85183465085,72355840
2-s2.0-85181902478,17014644
2-s2.0-85181902478,47324227
2-s2.0-85181902478,96234711
2-s2.0-85181499873,44858890
2-s2.0-85181499873,63986633
2-s2.0-85181499873,28735095
2-s2.0-85181685202,82928121
2-s2.0-85181685202,17728075
2-s2.0-85181685202,21142816
2-s2.0-85181234626,88356706
2-s2.0-85181234626,97851707
2-s2.0-85181234626,83806640
2-s2.0-85177479751,40686578
2-s2.0-85177479751,69186887
2-s2.0-85177479751,68725178
2-s2.0-85186118924,45981116
2-s2.0-85186118924,60491799
